,specname,z,lmass,n,re,mag,axis_ratio,position_angle,chi2_rad,chi2_2d,quality
0,spec-7394-57131-0650,0.5443508,10.63,4.25,3.5499593612077653,19.7341,0.6335,-34.198,121.6015614191809,1.381912,0
1,spec-5893-56034-0735,0.7324956,11.15,6.0,4.895610799378417,19.3845,0.6905,-45.713,1154.807678681644,1.237713,1
2,spec-3826-55563-0269,0.6185028,11.23,2.0,3.793728370216428,19.1394,0.7638,-46.449,666.0387529417281,1.640772,0
3,spec-5417-55978-0147,0.7789403,11.21,6.0,4.027636212369175,19.2867,0.6996,-14.82,1962.467538356986,1.638163,0
4,spec-4450-55540-0249,0.6174629,11.3,2.25,0.9819353351715479,20.1865,0.3538,-56.633,1.3668426491840662,1.730391,0
5,spec-6059-56093-0823,0.6368278,10.78,5.75,2.9392130892632435,18.9906,0.775,-19.206,31.289837514754854,2.120537,2
6,spec-3686-55268-0330,0.6228663000000001,10.54,3.5,4.325318933300595,19.4445,0.8976,66.1261,997.3007979865123,1.523033,0
7,spec-3841-55572-0281,0.6506768,11.0,3.5,2.577182018559743,19.658,0.7625,-30.894,1464.0663807225828,1.432643,0
8,spec-4754-55649-0999,0.6119667,11.02,2.5,4.616661065943053,19.4361,0.7661,-32.938,602.4656542509246,1.751544,2
9,spec-6709-56429-0041,0.6667525,11.05,6.0,1.5419723224215696,19.5299,0.5716,20.1714,1.7059632012342434,1.121441,0
10,spec-5809-56353-0081,0.7577872,11.49,2.0,4.1221677024805485,19.1394,0.7638,-46.449,666.0387529417281,1.640772,0
11,spec-4611-55603-0425,0.6358590000000001,10.81,3.5,2.7289087727884715,19.5792,0.6092,-53.875,19.26531325387711,1.135518,0
12,spec-5192-56066-0028,0.7071607,11.03,6.0,6.604909741448976,19.2436,0.5575,10.5559,1099.5690189721656,1.246871,1
13,spec-4742-55660-0911,0.715543,11.54,6.0,1.7778260059002067,19.5484,0.8863,-58.518,32.602281983107694,1.02812,0
14,spec-4733-55649-0245,0.7649016,11.07,3.75,2.337577655714543,19.9061,0.452,43.3023,351.4875720837018,1.575204,1
15,spec-4462-55600-0737,0.7443973,11.19,1.5,1.1962242030228616,19.7157,0.8438,-80.731,29.64218707049564,1.382098,1
16,spec-6033-56069-0821,0.6214805999999999,11.0,5.5,3.7088145381802726,18.9046,0.8989,20.3743,689.0544911781407,1.306951,0
17,spec-5972-56334-0888,0.7993060000000001,11.25,6.0,2.4715579773603293,19.6796,0.755,16.819,148.0587957206964,1.112829,0
18,spec-4216-55477-0083,0.6692779999999999,11.16,2.0,4.838097745810986,19.874,0.8963,-63.203,384.2636877515315,1.265706,0
19,spec-5284-55866-0411,0.6049869999999999,10.98,6.0,5.609729928878177,19.4315,0.7897,-66.461,7433.4409160736295,1.272844,1
20,spec-4440-55539-0533,0.6275056,10.96,4.0,2.2103628554815775,19.6951,0.6903,60.6861,6.741578864256552,0.7351329,1
21,spec-5140-55836-0177,0.6945522,10.96,6.0,3.690063285590264,19.3335,0.8502,-89.697,4166.801159609392,1.532577,0
22,spec-5779-56338-0133,0.6047518,10.82,2.5,4.615774734093078,18.7606,0.8193,-10.693,1169.3587127182159,1.422615,0
23,spec-5982-56074-0857,0.8095494000000001,11.1,3.25,0.925722223542726,20.1561,0.6932,-76.98,3.199437110765285,1.133172,2
24,spec-4268-55483-0873,0.6077461999999999,11.32,3.5,3.5900427889665463,19.4531,0.7908,43.1753,109.16239639220396,1.284771,2
25,spec-4200-55499-0173,0.6620304,10.82,4.25,2.079490737842919,19.8145,0.6947,-15.807,3.8593101047950777,1.177207,0
26,spec-4055-55359-0411,0.5886024999999999,11.0,6.0,5.057051666311831,19.3553,0.3954,32.9685,168.22901290693855,1.27562,2
27,spec-4349-55803-0185,0.6107509,10.85,6.0,3.2388676103758023,19.3312,0.8355,-76.857,112.57020681799553,1.143046,0
28,spec-5693-56246-0079,0.6788054,11.33,2.75,3.0596227563067164,19.818,0.8349,48.1446,519.6189891382512,1.250813,0
29,spec-4858-55686-0983,0.7555003,11.08,3.0,2.8037053501407914,19.8536,0.7325,-74.742,2802.9785283081337,1.42415,0
30,spec-4391-55866-0387,0.7241626,10.9,1.75,1.6727161531324566,19.8174,0.7233,60.8185,67.94115286386837,1.203173,0
31,spec-4080-55471-0002,0.7423763000000001,10.75,2.0,8.344808202916305,19.2862,0.7258,-79.463,7150.168828438482,1.383595,0
32,spec-4804-55679-0339,0.5980306,11.04,1.5,3.373695530887392,19.7641,0.8558,-61.941,171.86173009644463,1.551308,0
33,spec-3808-55513-0183,0.8343609000000001,10.92,4.5,5.357087278731094,19.5093,0.8239,-78.674,202.43962911898714,1.521551,0
34,spec-5879-56047-0131,0.6849687,10.92,3.0,4.1072077441048584,19.08,0.6873,53.3888,901.5968049143079,1.781682,0
35,spec-5411-55953-0273,0.5977439,10.96,6.0,5.0936659275525695,19.3553,0.3954,32.9685,168.22901290693855,1.27562,1
36,spec-4636-55945-0895,0.6058839,10.86,6.0,2.4748687713632123,19.4784,0.5759,35.6527,24.32135371197033,1.412065,1
37,spec-5287-55952-0903,0.7262386,11.44,2.0,11.378953705477818,19.2342,0.4596,-63.536,3001.947080438086,1.857965,0
38,spec-4208-55476-0055,0.737807,11.37,3.5,4.140444619301416,19.6588,0.9722,-28.735,85.63473711584149,1.26243,0
39,spec-6877-56544-0583,0.8236945,11.07,3.0,4.159676690423578,19.7342,0.8564,15.0575,3557.3358951808486,1.956361,0
40,spec-3831-55543-0429,0.5963689999999999,10.95,3.0,3.8655737130626924,19.08,0.6873,53.3888,901.5968049143079,1.781682,0
41,spec-8406-57513-0936,0.6574747,10.79,3.75,4.226345626740494,19.3599,0.9497,-61.819,1200.7746718928488,1.146532,0
42,spec-6427-56328-0269,0.7964526,11.05,6.0,3.3244211004349884,19.35,0.8979,68.8313,774.957084465891,1.206831,0
43,spec-4441-55532-0108,0.6502928000000001,11.07,0.5,1.2004776129126027,19.6056,0.7986,-57.974,102.13736586877644,1.21367,0
44,spec-3647-55827-0852,0.6988008000000001,10.8,4.0,5.66575215018933,19.7355,0.5612,62.4307,530.3663464436374,1.613475,0
45,spec-3856-55269-0293,0.7660347,11.33,5.5,3.67687684425121,19.5455,0.7347,-50.752,43.224005134847744,1.221859,0
46,spec-5202-55824-0669,0.6685207,10.9,2.0,2.651858045015023,19.6379,0.9861,-51.887,460.7539639000728,1.312491,1
47,spec-4726-55712-0237,0.6474326,11.36,2.0,4.522139586692477,19.3583,0.6687,27.2536,157.0947395724877,1.809604,0
48,spec-4400-55509-0837,0.6528630999999999,10.94,4.5,3.9259306497790356,19.7865,0.8584,-66.393,191.80095399233568,1.194834,1
49,spec-5309-55929-0237,0.6237547,10.86,6.0,2.240689592323041,19.6796,0.755,16.8193,148.05535052171237,1.112829,0
50,spec-6697-56419-0497,0.7225854,11.1,4.25,1.801490920349463,19.8603,0.7085,-52.167,28.840397554427465,1.137262,0
51,spec-4035-55383-0427,0.6579560999999999,11.09,1.25,1.407192999910314,19.794,0.9119,5.161,526.4575375655289,1.531492,2
52,spec-3793-55214-0221,0.573624,10.84,0.75,9.19466370416323,19.4342,0.9037,8.2787,12410.160516084,1.811055,1
53,spec-4664-56192-0973,0.7586018,11.02,4.25,2.6589881659603445,19.7922,0.7765,-47.64,37.46276902983887,1.469004,2
